,timestamp,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.911,223,-0.166,0.376,0.43,0.08,0.13,1.73,1.64,0.61,0.94,0.51,0.0,0.0,0.0,0.57,0.08,0.79,1.83,1.63,1.77,1.07,0.0,0.0
1,0.0,155,-0.41,0.313,0.326,0.496,-0.206,1.91,0.61,0.9,0.47,1.06,0.0,1.03,1.73,0.93,0.28,0.41,0.5,0.32,0.16,0.47,0.37,0.0
2,0.18,155,-0.407,0.242,0.207,0.501,-0.152,2.45,0.29,1.47,0.74,1.56,0.0,0.88,2.27,1.22,1.13,0.5,0.49,1.25,0.0,1.67,0.71,0.36
3,0.271,155,-0.394,0.184,0.126,0.478,-0.091,2.45,0.0,0.46,0.71,1.08,0.0,0.58,0.98,0.76,1.61,0.09,0.0,0.39,0.16,0.13,0.07,0.19
4,0.722,155,-0.321,0.07400000000000001,0.003,0.393,-0.056,2.0,0.02,0.96,1.26,1.64,0.0,0.0,0.75,1.86,1.86,0.0,0.86,0.0,1.1,0.25,0.0,0.0
5,0.812,155,-0.185,0.09,0.004,0.183,-0.048,2.49,1.36,0.0,0.0,0.97,0.48,0.0,2.37,0.91,0.0,0.21,0.0,0.29,0.76,0.0,0.0,0.0
6,1.083,155,-0.21,0.01,-0.08900000000000001,0.253,-0.13,2.54,0.35,0.42,2.09,1.42,0.0,0.0,2.09,1.71,1.86,0.76,2.1,0.61,1.3,0.38,0.0,0.74
7,1.173,155,-0.249,0.012,-0.08900000000000001,0.314,-0.14,2.23,0.2,1.38,2.39,1.15,0.86,0.48,3.03,1.29,2.28,0.37,1.87,0.0,1.23,0.37,0.12,0.19
8,1.263,155,-0.237,0.02,-0.068,0.297,-0.159,1.84,0.0,1.38,1.42,1.13,0.0,0.0,2.77,1.82,2.39,0.12,1.14,0.09,1.06,0.7,0.0,0.25
9,1.3530000000000002,155,-0.236,0.044,-0.036000000000000004,0.297,-0.158,1.28,0.0,0.66,1.13,1.71,0.06,0.0,1.15,2.1,1.72,0.0,0.67,0.0,1.0,0.67,0.0,0.46
10,1.444,155,-0.315,0.057,-0.01,0.411,-0.073,1.85,0.0,1.2,0.65,1.06,0.01,0.54,1.46,1.26,1.97,0.64,0.74,0.66,0.0,0.93,0.0,0.0
11,1.534,155,-0.375,0.095,0.016,0.489,-0.051,2.53,0.06,1.29,1.67,0.71,0.0,0.72,1.78,0.94,1.91,0.9,0.95,1.22,0.55,0.5,0.1,0.01
12,1.624,155,-0.377,0.117,0.026,0.496,-0.029,2.66,0.26,1.64,1.09,0.58,0.0,0.52,2.21,1.05,1.58,0.92,1.14,0.23,0.0,0.58,0.14,0.18
