,timestamp,face_id,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0,223,-0.295,0.28,0.24,0.433,-0.063,1.65,0.35,0.11,1.09,0.0,0.0,0.53,0.8,0.0,1.72,0.71,0.0,0.0,0.0,0.73,0.0,0.0
1,0.068,0,223,-0.302,0.285,0.247,0.44,-0.057999999999999996,1.68,0.48,0.06,1.37,0.0,0.0,0.6,0.64,0.0,2.01,0.7,0.0,0.0,0.0,0.95,0.0,0.0
2,0.136,0,223,-0.303,0.284,0.24600000000000002,0.44,-0.054000000000000006,1.68,0.51,0.2,1.69,0.0,0.0,0.56,0.58,0.0,1.93,0.7,0.0,0.0,0.0,0.96,0.0,0.0
3,0.205,0,223,-0.303,0.284,0.247,0.44,-0.053,1.73,0.54,0.06,1.93,0.0,0.0,0.57,0.57,0.0,1.75,0.71,0.0,0.0,0.0,0.98,0.0,0.0
4,0.273,0,223,-0.304,0.28300000000000003,0.24600000000000002,0.442,-0.052000000000000005,1.57,0.47,0.01,1.64,0.0,0.0,0.69,0.7,0.0,1.97,0.66,0.0,0.0,0.0,0.93,0.0,0.0
5,0.341,0,223,-0.306,0.28300000000000003,0.247,0.44299999999999995,-0.052000000000000005,1.42,0.45,0.08,1.71,0.0,0.0,0.64,0.71,0.0,1.83,0.78,0.0,0.0,0.0,0.81,0.0,0.0
6,0.409,0,223,-0.307,0.28300000000000003,0.247,0.444,-0.051,1.57,0.5,0.13,1.72,0.0,0.0,0.71,0.75,0.0,1.84,0.71,0.0,0.0,0.0,0.8,0.0,0.0
7,0.0,0,237,0.268,0.255,0.278,-0.209,0.028999999999999998,1.52,0.0,1.7,0.0,0.9,0.92,1.01,0.17,0.34,0.0,0.0,0.0,0.24,0.36,0.0,0.0,0.0
8,0.1,0,237,0.251,0.20199999999999999,0.21100000000000002,-0.183,0.024,0.7,0.0,1.38,0.0,0.63,0.35,0.55,0.0,0.23,0.33,0.0,0.0,0.0,0.18,0.0,0.0,0.0
9,0.2,0,237,0.259,0.268,0.27699999999999997,-0.182,0.040999999999999995,1.43,0.14,1.46,0.0,0.94,0.75,0.83,0.0,0.37,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
10,0.3,0,237,0.273,0.298,0.304,-0.19,0.052000000000000005,1.66,0.07,1.33,0.0,0.99,0.86,1.08,0.15,0.22,0.0,0.22,0.0,0.28,0.0,0.0,0.0,0.0
11,0.4,0,237,0.284,0.312,0.314,-0.2,0.068,1.49,0.12,1.34,0.0,0.95,1.0,1.26,0.29,0.35,0.0,0.1,0.0,0.14,0.14,0.0,0.01,0.0
12,0.5,0,237,0.276,0.33899999999999997,0.34299999999999997,-0.18600000000000003,0.094,1.49,0.0,1.83,0.0,0.86,0.74,1.28,0.0,0.32,0.0,0.26,0.0,0.66,0.0,0.0,0.0,0.0
13,0.6,0,237,0.243,0.336,0.34299999999999997,-0.14400000000000002,0.102,1.62,0.0,1.59,0.0,0.87,0.44,0.98,0.36,0.44,0.01,0.25,0.0,0.05,0.14,0.0,0.0,0.0
