,x,y
0,5.053733,9.3382845
1,5.402707,9.715611
2,7.4965873,9.2840395
3,7.994936,5.5376678
4,7.8300643,10.491823
5,9.991412,6.8096895
6,8.281193,7.508686
7,7.7242146,6.7983646
8,7.791041,10.3497715
9,8.936118,10.501992
10,8.516012,7.163257
11,8.993659,10.485574
12,9.599502,8.029691
13,6.457836,7.5535946
14,4.857687,5.6792064
15,3.327537,6.9830966
16,8.407372,6.9191265
17,7.70931,9.149653
18,4.923582,9.462173
19,8.254969,10.5303755
20,3.3439143,6.785745
21,8.30838,10.412511
22,9.51973,6.784178
23,7.596619,6.0109096
24,7.330188,10.156018
25,8.372912,10.462758
26,9.146286,7.164882
27,7.2571554,9.488445
28,3.5919323,7.4726934
29,9.4161215,8.595283
30,9.051137,10.454683
31,9.149306,5.98731
32,5.541536,9.59893
33,9.068228,8.089151
34,7.9445276,9.672276
35,8.100275,10.636194
36,5.3641543,9.584451
37,3.3631,7.9776416
38,8.847994,5.8030524
39,6.77509,10.03158
40,9.277991,10.225117
41,10.004844,8.055805
42,9.957066,7.332975
43,4.831193,9.338787
44,3.5605154,5.643559
45,3.2372167,7.5092816
46,4.4333644,8.981843
47,9.070821,7.1536913
48,3.602137,6.4498525
49,4.3690143,5.8942046
50,3.036048,7.457455
51,7.0965633,9.732224
52,7.1355805,7.1028686
53,3.5660598,8.165493
54,8.46252,5.6792917
55,3.0436132,7.0847397
56,4.9639745,5.9984217
57,3.4534934,7.579409
58,9.52331,9.451084
59,6.3260493,6.636832
60,5.4838815,6.087165
61,7.4528213,5.2875075
62,2.9716573,6.93769
63,7.7157636,6.6354294
64,6.0650616,6.571151
65,3.1676784,7.649044
66,7.8282695,10.17321
67,4.676395,9.194764
68,6.0168195,6.77117
69,5.03923,5.372491
70,3.425602,6.0444517
71,8.599555,10.024119
72,9.820054,7.852735
73,3.0982103,6.6861653
74,7.900365,9.565716
75,5.7267017,9.4829
76,8.358236,10.3477545
77,7.4241853,5.292087
78,5.613929,9.571332
79,7.8779197,5.41989
80,10.113461,8.857489
81,9.746039,6.6670485
82,8.950944,9.297033
83,3.7067215,5.7035704
84,5.512594,8.746198
85,9.955511,8.458871
86,9.168609,9.124165
87,5.5394783,9.762093
88,7.7202983,9.50138
89,3.1642118,7.4474487
90,3.2313406,6.58424
91,10.00604,9.280933
92,7.149183,9.784183
93,4.6513886,5.7772894
94,8.23323,7.3804607
95,7.4460263,7.7099385
96,7.4253716,5.891428
97,9.170628,9.287534
98,8.73653,5.7527633
99,3.2728658,7.8174644
100,9.988516,9.04942
101,5.9460864,6.3064413
102,3.6326623,8.123999
103,9.066751,9.715135
104,9.638582,6.482464
105,8.121235,5.6631737
106,6.240386,6.1640925
107,8.408928,5.7892256
108,3.3627408,7.979179
109,9.245695,8.98825
110,7.691869,10.304191
111,10.322069,7.373153
112,7.2687383,9.892663
113,3.9577923,6.178124
114,3.7761676,5.863239
115,5.8741546,6.632743
116,7.268763,5.93752
117,9.531798,8.598843
118,9.9395485,9.083989
119,8.520682,10.586217
120,9.574451,9.867736
121,8.57556,5.5845914
122,8.598447,7.600878
123,4.5692906,5.5373354
124,4.2497745,5.5223274
125,6.3304586,9.778324
126,9.893861,9.560385
127,9.448899,6.8633394
128,10.415062,7.1592994
129,9.979439,9.69242
130,7.1877217,5.2520614
131,10.290189,7.180913
132,8.881938,10.319823
133,10.182213,7.367075
134,4.870935,5.410349
135,5.2309866,8.977032
136,9.798754,7.9342504
137,7.818158,5.749898
138,7.3668256,5.7830114
139,8.859242,7.492797
140,4.5953255,5.3693213
141,3.6299794,5.7686057
142,9.644685,9.32922
143,7.1591573,10.356937
144,5.3474627,8.853063
145,3.2844758,6.295646
146,3.1221702,7.421043
147,10.261222,7.116914
148,5.58473,8.493435
149,4.6753516,9.257133
150,7.4061112,8.902111
151,7.245907,7.1080375
152,4.41897,5.49368
153,7.1585107,5.8560658
154,6.4732356,7.284289
155,10.174251,7.1542277
156,3.6361566,7.511612
157,6.7502165,7.109422
158,7.3851147,6.839976
159,8.022532,7.528378
160,9.085568,9.347939
161,9.859508,9.476733
162,6.8448386,9.442597
163,4.8560786,9.215251
164,7.91352,5.9478765
165,8.984452,6.065398
166,9.887288,6.7557607
167,4.423241,5.3916883
168,6.2608066,7.1436534
169,9.258004,8.003548
