,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,face_id,video
0,0.006821,0.299925,-0.953938,-0.164724,0.35022600000000004,-0.922067,-0.084,0.33399999999999996,-57.3,-102.7,627.3,0.336,0.20199999999999999,-0.304,0.58,0.0,0.8,0.0,1.92,0.37,0.91,1.59,2.36,2.98,0.0,0.0,0.0,1.26,2.39,0.89,0.0,0,223
19,-0.142301,0.072658,-0.9871530000000001,-0.329934,0.064106,-0.941825,-0.24,0.071,88.6,-5.3,526.1,0.04,0.302,0.003,0.61,0.44,0.0,1.98,1.53,0.0,0.09,1.0,2.01,0.94,0.0,0.0,0.0,0.14,1.19,0.95,0.0,0,551
21,-0.176492,0.19534300000000002,-0.964724,-0.35662699999999997,0.171733,-0.918327,-0.276,0.193,104.3,-82.8,670.0,0.147,0.349,0.05,0.0,0.0,0.63,0.0,0.91,0.0,0.0,0.95,1.77,1.25,0.0,0.0,0.0,0.0,0.69,0.56,0.0,0,579
22,-0.183219,0.187646,-0.9649969999999999,-0.360863,0.161448,-0.918538,-0.281,0.183,101.4,-85.8,666.0,0.13,0.353,0.084,0.0,0.0,0.31,0.0,0.82,0.0,0.0,1.04,1.88,0.85,0.0,0.0,0.0,0.0,0.57,0.23,0.0,0,579
23,-0.186527,0.159734,-0.969377,-0.362508,0.133113,-0.922426,-0.282,0.154,99.6,-90.5,661.9,0.087,0.35200000000000004,0.114,0.0,0.0,0.62,0.0,0.84,0.0,0.0,0.6,1.62,0.99,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0,579
24,-0.180547,0.152302,-0.9717030000000001,-0.35768,0.127492,-0.9251,-0.276,0.146,100.6,-92.0,661.5,0.076,0.33899999999999997,0.11699999999999999,0.0,0.0,0.47,0.0,0.77,0.0,0.0,1.24,1.54,1.35,0.0,0.0,0.0,0.31,0.07,0.29,0.0,0,579
25,-0.179649,0.142926,-0.9732930000000001,-0.353407,0.11894,-0.9278780000000001,-0.273,0.13699999999999998,99.4,-92.7,654.7,0.059000000000000004,0.33299999999999996,0.124,0.0,0.0,0.37,0.0,0.81,0.0,0.0,0.87,1.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,579
26,-0.178794,0.141244,-0.9736950000000001,-0.34766199999999997,0.12504200000000001,-0.9292450000000001,-0.27,0.139,95.1,-93.7,645.1,0.048,0.325,0.109,0.24,0.47,0.02,0.48,0.2,0.0,0.0,0.67,1.4,0.73,0.0,0.0,0.0,0.0,0.0,0.48,0.24,0,579
27,-0.17230299999999998,0.12725899999999998,-0.9767889999999999,-0.345893,0.119054,-0.93069,-0.265,0.128,91.1,-94.1,644.2,0.036000000000000004,0.32299999999999995,0.07400000000000001,0.51,0.97,0.0,0.64,0.55,0.0,0.0,0.48,1.51,0.98,0.0,0.0,0.0,0.0,0.37,0.18,0.29,0,579
28,-0.14538399999999999,0.10624000000000001,-0.983655,-0.3184,0.110595,-0.941483,-0.23600000000000002,0.11199999999999999,89.8,-94.2,645.4,0.02,0.287,0.026000000000000002,0.0,0.0,0.12,0.0,0.88,0.0,0.0,1.18,2.07,0.71,0.0,0.0,0.0,0.45,1.68,0.63,0.0,0,579
