,timestamp,face_id,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0,223,-0.084,0.33399999999999996,0.336,0.20199999999999999,-0.304,0.58,0.0,0.8,0.0,1.92,0.37,0.91,1.59,2.36,2.98,0.0,0.0,0.0,1.26,2.39,0.89,0.0
19,3.84,0,551,-0.24,0.071,0.04,0.302,0.003,0.61,0.44,0.0,1.98,1.53,0.0,0.09,1.0,2.01,0.94,0.0,0.0,0.0,0.14,1.19,0.95,0.0
21,0.0,0,579,-0.276,0.193,0.147,0.349,0.05,0.0,0.0,0.63,0.0,0.91,0.0,0.0,0.95,1.77,1.25,0.0,0.0,0.0,0.0,0.69,0.56,0.0
22,0.1,0,579,-0.281,0.183,0.13,0.353,0.084,0.0,0.0,0.31,0.0,0.82,0.0,0.0,1.04,1.88,0.85,0.0,0.0,0.0,0.0,0.57,0.23,0.0
23,0.2,0,579,-0.282,0.154,0.087,0.35200000000000004,0.114,0.0,0.0,0.62,0.0,0.84,0.0,0.0,0.6,1.62,0.99,0.0,0.0,0.0,0.0,0.3,0.0,0.0
24,0.3,0,579,-0.276,0.146,0.076,0.33899999999999997,0.11699999999999999,0.0,0.0,0.47,0.0,0.77,0.0,0.0,1.24,1.54,1.35,0.0,0.0,0.0,0.31,0.07,0.29,0.0
25,0.4,0,579,-0.273,0.13699999999999998,0.059000000000000004,0.33299999999999996,0.124,0.0,0.0,0.37,0.0,0.81,0.0,0.0,0.87,1.6,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.5,0,579,-0.27,0.139,0.048,0.325,0.109,0.24,0.47,0.02,0.48,0.2,0.0,0.0,0.67,1.4,0.73,0.0,0.0,0.0,0.0,0.0,0.48,0.24
27,0.6,0,579,-0.265,0.128,0.036000000000000004,0.32299999999999995,0.07400000000000001,0.51,0.97,0.0,0.64,0.55,0.0,0.0,0.48,1.51,0.98,0.0,0.0,0.0,0.0,0.37,0.18,0.29
28,0.7,0,579,-0.23600000000000002,0.11199999999999999,0.02,0.287,0.026000000000000002,0.0,0.0,0.12,0.0,0.88,0.0,0.0,1.18,2.07,0.71,0.0,0.0,0.0,0.45,1.68,0.63,0.0
29,0.8,0,579,-0.2,0.10300000000000001,0.012,0.24,-0.016,0.0,0.0,0.17,0.0,1.36,0.0,0.0,1.02,2.08,0.66,0.0,0.0,0.0,0.17,1.83,1.0,0.0
30,0.9,0,579,-0.19,0.09699999999999999,0.004,0.237,-0.057,0.0,0.0,0.86,0.0,1.59,0.39,0.06,1.23,2.35,0.91,0.0,0.0,0.0,0.07,1.95,0.39,0.0
31,1.0,0,579,-0.191,0.1,0.009000000000000001,0.244,-0.075,0.0,0.0,0.69,0.0,1.73,0.42,0.21,1.52,2.48,1.38,0.0,0.0,0.0,0.28,2.03,0.52,0.28
32,1.1,0,579,-0.18899999999999997,0.11699999999999999,0.033,0.242,-0.08,0.01,0.0,1.11,0.0,1.99,0.99,0.43,1.61,2.54,1.8,0.0,0.0,0.0,0.24,2.09,0.31,0.1
33,1.2,0,579,-0.191,0.11800000000000001,0.035,0.245,-0.077,0.0,0.0,1.04,0.0,1.68,0.46,0.3,1.6,2.42,1.27,0.0,0.0,0.0,0.12,1.87,0.37,0.0
34,1.3,0,579,-0.192,0.125,0.044000000000000004,0.24600000000000002,-0.078,0.0,0.0,0.77,0.0,1.73,0.23,0.1,1.36,2.67,1.69,0.0,0.0,0.0,0.45,2.0,0.24,0.13
59,0.88,0,592,0.125,0.281,0.23600000000000002,-0.138,-0.027999999999999997,3.04,0.55,1.51,1.08,0.63,0.0,0.0,1.37,1.22,0.52,0.0,0.0,0.5,0.18,0.22,0.0,0.46
72,1.6,0,155,0.036000000000000004,0.214,0.10400000000000001,-0.075,0.225,0.0,0.0,0.0,0.42,0.0,0.71,0.68,0.0,0.0,0.0,0.96,0.42,0.66,0.05,0.0,0.0,0.0
74,0.0,0,633,-0.11199999999999999,0.114,-0.14,0.151,0.059000000000000004,0.0,0.0,0.26,0.0,0.17,1.09,0.95,0.02,0.0,0.0,0.0,0.0,1.52,0.0,0.83,0.0,1.21
75,0.1,0,633,-0.083,0.109,-0.14,0.141,0.075,0.0,0.0,0.19,0.0,0.24,1.54,1.18,0.34,0.0,0.0,0.0,0.0,1.49,0.0,0.85,0.0,1.11
76,0.2,0,633,-0.09,0.09699999999999999,-0.147,0.128,0.08900000000000001,0.0,0.0,0.0,0.0,0.01,0.96,0.89,0.48,0.31,0.0,0.0,0.0,1.53,0.0,0.8,0.64,0.96
77,0.3,0,633,-0.091,0.087,-0.146,0.129,0.098,0.0,0.0,0.0,0.0,0.1,1.27,0.77,0.11,0.37,0.07,0.0,0.0,1.86,0.0,0.67,0.17,0.97
78,0.4,0,633,-0.092,0.091,-0.142,0.133,0.10400000000000001,0.0,0.0,0.0,0.0,0.32,0.73,0.74,0.12,0.54,0.08,0.0,0.0,1.81,0.0,0.64,0.0,0.9
79,0.5,0,633,-0.10400000000000001,0.106,-0.136,0.13,0.10300000000000001,0.0,0.0,0.0,0.0,0.22,1.29,0.77,0.0,0.83,0.25,0.1,0.0,1.78,0.0,0.64,0.0,0.81
80,0.6,0,633,-0.106,0.102,-0.124,0.127,0.1,0.0,0.0,0.0,0.0,0.09,1.1,0.88,0.23,0.84,0.38,0.0,0.0,2.01,0.18,0.73,0.0,0.64
81,0.7,0,633,-0.099,0.094,-0.11900000000000001,0.124,0.10300000000000001,0.0,0.0,0.0,0.0,0.48,1.41,0.91,0.63,0.94,0.64,0.0,0.0,2.38,0.0,0.91,0.08,0.62
82,0.8,0,633,-0.085,0.083,-0.122,0.11699999999999999,0.10300000000000001,0.0,0.0,0.0,0.0,0.51,1.63,1.01,0.48,0.78,0.39,0.0,0.0,2.42,0.0,0.89,0.0,0.52
83,0.9,0,633,-0.105,0.099,-0.12,0.12300000000000001,0.105,0.0,0.0,0.0,0.0,0.49,1.2,0.76,0.39,0.82,0.13,0.0,0.0,2.32,0.0,0.75,0.08,0.63
84,1.0,0,633,-0.094,0.095,-0.12,0.11699999999999999,0.107,0.0,0.0,0.0,0.0,0.49,1.77,0.84,0.48,0.94,0.46,0.0,0.0,1.98,0.0,0.79,0.11,0.68
85,1.1,0,633,-0.111,0.10300000000000001,-0.11699999999999999,0.107,0.114,0.0,0.0,0.0,0.0,0.5,1.34,0.81,0.76,1.09,0.45,0.0,0.0,1.89,0.0,1.03,0.46,0.59
86,1.2,0,633,-0.10800000000000001,0.096,-0.128,0.109,0.11599999999999999,0.0,0.0,0.0,0.0,0.9,1.7,1.0,1.02,1.07,0.7,0.0,0.0,1.69,0.0,1.33,0.18,0.51
87,1.3,0,633,-0.098,0.11699999999999999,-0.114,0.11,0.109,0.0,0.0,0.0,0.0,0.8,1.24,1.14,0.87,1.05,0.43,0.0,0.0,1.67,0.0,1.29,0.07,0.5
88,1.4,0,633,-0.10099999999999999,0.13,-0.106,0.12,0.106,0.0,0.0,0.0,0.0,0.91,1.81,0.82,1.29,1.26,0.21,0.0,0.0,1.72,0.0,1.3,0.54,0.36
