,timestamp,video,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,545,-0.122,0.226,0.12,-0.028,0.188,2.42,3.1,0.0,0.65,0.08,0.67,0.35,0.0,0.0,0.13,0.88,0.44,0.0,0.36,0.0,0.0,1.16
1,0.08,545,-0.14400000000000002,0.294,0.156,-0.038,0.211,2.11,3.15,0.0,0.19,0.12,1.68,0.83,0.27,0.0,0.46,1.24,0.48,0.0,0.39,0.33,0.03,1.14
2,0.16,545,-0.153,0.313,0.175,-0.039,0.228,2.27,3.11,0.0,0.13,0.15,1.54,0.78,0.37,0.0,0.0,1.11,0.57,0.0,0.73,0.33,1.4,1.44
3,0.24,545,-0.165,0.342,0.188,-0.006999999999999999,0.243,2.07,2.88,0.0,0.74,0.31,2.16,0.35,1.16,0.06,0.42,0.96,0.95,0.0,0.26,0.44,0.61,1.27
4,0.32,545,-0.151,0.364,0.185,0.019,0.261,2.11,2.82,0.0,0.0,0.66,2.24,0.9,0.62,0.16,0.0,1.27,0.02,0.0,0.06,0.56,0.0,1.39
5,0.4,545,-0.142,0.378,0.192,0.033,0.269,1.95,2.92,0.0,0.53,0.89,2.39,0.55,0.83,0.37,0.0,0.61,0.14,0.0,0.12,0.38,0.0,1.35
6,0.48,545,-0.104,0.338,0.17600000000000002,0.026,0.275,2.04,3.0,0.0,0.29,0.76,2.29,0.69,0.41,0.44,0.0,1.26,0.06,0.0,0.35,0.36,0.47,1.09
7,0.56,545,-0.102,0.343,0.184,0.022,0.276,1.93,3.03,0.0,0.1,0.65,2.14,0.29,0.02,0.5,0.0,1.62,0.36,0.0,0.29,0.23,0.0,1.17
8,0.64,545,-0.097,0.378,0.19,0.015,0.274,1.48,2.69,0.0,0.13,0.88,1.76,0.75,0.1,0.58,0.0,2.21,0.6,0.0,0.32,0.52,0.0,1.28
9,0.72,545,-0.098,0.38,0.199,0.017,0.271,1.77,2.56,0.0,0.15,0.78,2.29,0.39,1.61,0.34,0.0,1.18,1.89,0.02,0.27,0.33,1.12,1.2
10,0.8,545,-0.014,0.375,0.183,0.015,0.274,1.95,2.89,0.0,0.0,0.97,2.32,0.65,0.46,0.66,0.0,1.22,0.53,0.0,0.0,0.41,0.0,2.25
11,0.88,545,-0.141,0.35100000000000003,0.187,0.013,0.271,1.78,3.13,0.0,0.02,0.85,0.91,0.0,0.63,0.76,0.0,0.93,0.82,0.0,0.3,0.41,0.34,3.31
12,0.96,545,-0.07400000000000001,0.384,0.163,0.013,0.274,2.06,3.11,0.0,0.45,0.83,1.86,0.05,0.73,0.87,0.0,1.4,1.3,0.0,0.0,0.31,0.0,2.7
13,1.04,545,-0.062,0.39,0.179,0.006999999999999999,0.276,1.36,2.47,0.0,0.28,1.0,2.0,0.04,0.0,0.53,0.0,1.07,0.53,0.0,0.77,0.58,0.0,2.33
14,1.12,545,-0.032,0.4,0.184,0.002,0.279,1.16,1.75,0.0,0.0,0.92,2.08,0.0,0.0,0.62,0.0,2.12,0.54,0.0,0.0,0.67,0.0,1.96
15,1.2,545,-0.033,0.369,0.215,0.004,0.273,0.96,1.36,0.0,0.0,1.02,2.79,0.79,0.71,0.34,0.0,1.62,0.9,0.37,0.0,0.51,0.0,1.69
16,1.28,545,-0.016,0.365,0.221,0.002,0.272,1.01,0.86,0.0,0.0,1.07,3.09,0.89,1.15,0.07,0.0,1.11,0.77,0.0,0.36,0.41,0.16,1.36
17,1.36,545,-0.041,0.332,0.21600000000000005,-0.001,0.269,0.66,0.82,0.08,0.0,1.16,2.48,0.58,1.59,0.0,0.0,1.24,0.85,0.0,0.37,0.19,0.36,1.22
18,1.44,545,-0.033,0.345,0.217,-0.002,0.268,0.97,0.84,0.0,0.0,1.14,3.11,0.6,1.62,0.1,0.0,1.35,1.11,0.0,0.5,0.14,0.36,1.13
19,0.0,551,-0.022,0.41,0.469,0.106,-0.133,0.0,0.0,0.75,0.0,0.91,1.11,0.64,0.01,0.07,0.31,0.0,0.0,0.71,0.0,0.93,1.7,0.32
20,0.13,551,-0.029,0.408,0.461,0.11,-0.112,0.0,0.01,0.83,0.0,0.43,0.52,0.39,0.13,0.01,0.52,0.0,0.0,0.84,0.0,0.65,1.46,0.5
21,0.261,551,-0.037000000000000005,0.41,0.463,0.118,-0.106,0.0,0.0,0.46,0.0,0.46,0.74,0.51,0.22,0.05,0.0,0.0,0.0,0.91,0.0,0.6,1.64,0.44
22,0.391,551,-0.04,0.423,0.482,0.122,-0.105,0.0,0.0,0.96,0.0,0.68,0.0,0.22,0.0,0.17,0.0,0.0,0.0,0.83,0.0,0.67,1.45,0.29
23,0.522,551,-0.044,0.415,0.469,0.127,-0.104,0.0,0.0,0.38,0.0,0.79,0.14,0.42,0.2,0.0,0.0,0.0,0.0,0.66,0.0,0.73,1.91,0.18
24,0.652,551,-0.05,0.408,0.459,0.133,-0.104,0.0,0.0,0.28,0.0,0.66,0.0,0.35,0.0,0.08,0.13,0.0,0.0,0.94,0.0,0.73,1.47,0.04
25,0.7829999999999999,551,-0.053,0.402,0.457,0.136,-0.103,0.0,0.11,0.95,0.0,0.94,0.38,0.9,0.16,0.21,0.19,0.0,0.0,1.13,0.0,0.83,2.01,0.0
26,0.913,551,-0.061,0.391,0.439,0.146,-0.103,0.49,0.22,0.88,0.0,0.85,0.59,0.71,0.02,0.01,0.24,0.0,0.0,0.38,0.0,0.69,1.95,0.0
27,1.043,551,-0.067,0.392,0.439,0.154,-0.106,0.0,0.0,0.94,0.0,0.76,0.47,0.8,0.0,0.06,0.3,0.0,0.13,0.21,0.0,0.86,3.24,0.0
28,1.1740000000000002,551,-0.062,0.391,0.438,0.147,-0.103,0.51,0.17,1.19,0.0,0.72,0.98,0.92,0.0,0.22,0.47,0.0,0.0,0.67,0.0,1.06,1.77,0.0
29,1.304,551,-0.059,0.391,0.439,0.14300000000000002,-0.108,0.58,0.3,0.67,0.0,1.05,0.01,0.5,0.06,0.23,0.28,0.0,0.0,0.27,0.0,1.02,2.63,0.0
30,1.435,551,-0.059,0.384,0.428,0.142,-0.107,0.19,0.0,0.65,0.0,0.75,0.33,0.61,0.0,0.07,0.53,0.0,0.0,0.0,0.0,0.75,1.48,0.0
31,1.565,551,-0.064,0.385,0.4270000000000001,0.151,-0.115,0.0,0.07,0.88,0.0,0.96,0.83,0.43,0.0,0.25,0.12,0.0,0.0,0.08,0.0,0.8,2.26,0.0
32,0.0,579,0.18600000000000005,0.201,0.031,-0.256,0.28,1.8,0.0,0.41,0.0,0.04,2.37,0.0,1.24,0.0,0.37,1.86,0.8,0.21,0.0,0.04,1.14,0.98
33,0.218,579,0.172,0.212,0.087,-0.276,0.31,1.67,0.0,0.0,0.0,0.01,2.11,0.0,1.21,0.0,0.0,1.5,0.85,0.82,0.0,0.0,0.99,0.86
34,0.436,579,0.195,0.25,0.16899999999999998,-0.278,0.336,2.03,0.0,0.51,0.0,0.0,2.36,0.0,0.38,0.0,0.36,1.1,0.76,1.19,0.0,0.0,0.0,0.62
